NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,CO_ENTIDADE,TP_DEPENDENCIA,REDE,TP_LOCALIZACAO,TP_SITUACAO_FUNCIONAMENTO,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_TABLET_ALUNO,QT_TABLET_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,TP_REDE_LOCAL,IN_BANDA_LARGA,IN_REGULAR,QT_MAT_BAS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_TUR_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_MED,QT_MAT_PROF,QT_MAT_PROF_TEC,QT_MAT_EJA,QT_MAT_EJA_FUND,QT_MAT_EJA_MED,QT_MAT_ESP,QT_MAT_ESP_CC,QT_MAT_ESP_CE,mat_maior_turno,maior_turno,proxy_maior_turno,TCP_DOWN_MBPS,LAST_MEASURE2,n_disp_est,est_por_disp,nivel_dispos,i_dispos,vel_est,i_conec_simet,ano,Competência,versao,base,data_quest,i_comp,soma_i,i_viab,tam_esc,in_INF,in_FUND_AI,in_FUND_AF,atend_etapas0,apoio_IEC,apoio_CIEB,assessoria_cieb0,Destinação,Vl Devido Custeio,Vl Devido Capital,Vl Devido Total,Vl Ajuste Custeio,Vl Ajuste Capital,Vl Ajuste Total,Vl Final Devido Total,Vl Pago Custeio,Vl Pago Capital,Valor Pago Total,Data Ord. Pgto,in_MED
Mato Grosso,MT,51,Gaucha do Norte,5103858,51089343,2,Estadual,2,1,0,0,1,2,0,0,1,0,0,1,0,1,464,396,68,11,35,0,0,0,279,151,128,156,0,0,29,29,0,1,1,0,396,DIURNO,211,NA,NA,2,"105,5",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,,EF_AI,EF_AF,_EF_AI_EF_AF_EM,NA,NA,NA,-,-,-,-,-,-,-,,,,,,EM
Mato Grosso,MT,51,Gaucha do Norte,5103858,51089971,3,Municipal,1,1,0,0,0,0,0,0,1,0,1,3,0,1,371,371,0,2,14,371,195,176,0,0,0,0,0,0,0,0,0,3,3,0,371,DIURNO,280,"63,42",12/24/21 15:12,0,NA,1,0,"0,2265",0,NA,NA,NA,NA,NA,NA,NA,NA,M,EI,,,EI_,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,0,"3.328,00","3.328,00",0,0,0,"3.328,00",0,"3.328,00","3.328,00",11/11/2021,
Mato Grosso,MT,51,Gaucha do Norte,5103858,51095050,2,Estadual,2,1,1,1,0,0,0,0,1,1,1,3,0,1,185,169,16,10,11,0,0,0,62,28,34,123,0,0,0,0,0,0,0,0,169,DIURNO,91,NA,NA,1,91,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,EF_AF,_EF_AI_EF_AF_EM,NA,NA,NA,-,-,-,,-,-,-,-,-,-,-,-,EM
Mato Grosso,MT,51,Gaucha do Norte,5103858,51201810,3,Municipal,2,1,0,0,0,0,0,0,1,0,0,9,1,1,47,47,0,13,3,11,0,11,36,32,4,0,0,0,0,0,0,1,1,0,47,DIURNO,33,NA,NA,0,NA,1,0,NA,NA,2019,1,1,MEC,8/8/19 10:55,0,1,0,P,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52012905,2,Estadual,1,1,0,0,1,11,0,0,1,1,1,1,1,1,764,699,65,22,27,0,0,0,477,0,477,287,29,29,0,0,0,27,27,0,699,DIURNO,380,"11,89",12/17/21 1:33,11,"34,54545455",1,0,"0,031289474",0,2018,3,1,CIEB,NA,1,2,0,G,,,EF_AF,EF_AF_EM,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"3.892,00",0,"3.892,00",0,0,0,"3.892,00","3.892,00",0,"3.892,00",09/11/2021,EM
Goias,GO,52,Cavalcante,5205307,52012930,3,Municipal,2,1,1,1,0,0,0,0,1,0,0,1,0,1,24,24,0,13,6,4,0,4,20,20,0,0,0,0,0,0,0,0,0,0,24,DIURNO,24,NA,NA,1,24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52012948,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,22,22,0,10,5,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,22,DIURNO,22,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52012956,3,Municipal,2,1,0,0,0,0,0,0,1,0,1,9,1,1,3,3,0,15,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,DIURNO,3,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52012972,3,Municipal,2,1,1,1,0,0,0,0,1,0,0,1,1,1,75,75,0,19,7,17,0,17,58,58,0,0,0,0,0,0,0,2,2,0,75,DIURNO,75,NA,NA,1,75,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013014,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,3,3,0,10,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,DIURNO,3,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013030,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,19,19,0,25,6,5,0,5,14,14,0,0,0,0,0,0,0,0,0,0,19,DIURNO,19,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013081,3,Municipal,2,1,0,0,0,0,0,0,1,0,0,9,1,1,19,19,0,18,5,3,0,3,16,16,0,0,0,0,0,0,0,0,0,0,19,DIURNO,19,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013090,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,28,28,0,17,6,1,0,1,27,27,0,0,0,0,0,0,0,0,0,0,28,DIURNO,28,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013111,3,Municipal,2,1,0,0,1,1,0,0,1,0,0,2,0,1,14,14,0,20,6,1,0,1,13,13,0,0,0,0,0,0,0,0,0,0,14,DIURNO,14,NA,NA,1,14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013189,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,4,4,0,10,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,DIURNO,4,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013227,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,50,50,0,15,6,7,0,7,43,43,0,0,0,0,0,0,0,0,0,0,50,DIURNO,50,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013251,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,0,NA,1,33,33,0,11,6,1,0,1,32,32,0,0,0,0,0,0,0,0,0,0,33,DIURNO,33,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013260,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,10,10,0,23,5,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,10,DIURNO,10,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013286,3,Municipal,1,1,1,14,0,0,0,0,1,1,1,3,1,1,332,325,7,23,16,0,0,0,325,325,0,0,0,0,7,7,0,11,11,0,325,DIURNO,193,NA,NA,14,"13,78571429",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52013391,3,Municipal,2,1,1,1,0,0,0,0,1,0,0,1,1,1,12,12,0,10,3,3,0,3,9,9,0,0,0,0,0,0,0,0,0,0,12,DIURNO,12,NA,NA,1,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52014428,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,11,11,0,10,5,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,11,DIURNO,11,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52070247,2,Estadual,2,1,1,12,0,0,0,0,1,1,1,2,1,1,551,551,0,4,58,0,0,0,349,16,333,202,0,0,0,0,0,13,13,0,551,DIURNO,378,"17,88",3/7/22 18:41,12,"31,5",1,0,"0,047301587",0,2018,1,1,CIEB,NA,0,1,0,G,,EF_AI,EF_AF,_EF_AI_EF_AF_EM,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,0,"3.328,00","3.328,00",0,0,0,"3.328,00",0,0,0,,EM
Goias,GO,52,Cavalcante,5205307,52075370,3,Municipal,1,1,0,0,0,0,0,0,1,0,0,9,1,1,101,101,0,10,4,101,0,101,0,0,0,0,0,0,0,0,0,1,1,0,101,DIURNO,52,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,,,EI_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52075451,3,Municipal,2,1,1,1,0,0,0,0,1,0,0,2,0,1,57,57,0,4,6,11,0,11,46,46,0,0,0,0,0,0,0,1,1,0,57,DIURNO,57,NA,NA,1,57,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52081826,3,Municipal,1,1,1,18,1,1,0,0,1,1,1,1,1,1,243,243,0,54,12,52,0,52,191,191,0,0,0,0,0,0,0,5,5,0,243,DIURNO,122,NA,NA,19,"6,421052632",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52091686,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,14,14,0,10,5,1,0,1,13,13,0,0,0,0,0,0,0,0,0,0,14,DIURNO,14,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52099377,3,Municipal,2,1,0,0,0,0,0,0,1,0,0,9,0,1,16,16,0,27,4,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,16,DIURNO,16,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Goias,GO,52,Cavalcante,5205307,52112802,3,Municipal,1,1,0,0,0,0,0,0,1,0,1,1,1,1,64,64,0,26,6,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,64,DIURNO,44,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,,,EI_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31023116,3,Municipal,2,1,1,10,0,0,0,0,1,1,0,2,1,1,53,53,0,2,4,0,0,0,53,27,26,0,0,0,0,0,0,0,0,0,53,DIURNO,53,NA,NA,10,"5,3",2,0,NA,NA,2019,1,1,MEC,9/30/19 10:24,0,1,0,P,,EF_AI,EF_AF,_EF_AI_EF_AF_,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,0,"2.451,00","2.451,00",0,0,0,"2.451,00",0,"2.451,00","2.451,00",12/11/2021,
Minas Gerais,MG,31,Berilo,3106507,31023124,2,Estadual,2,1,1,35,1,5,1,3,1,1,1,3,1,1,50,50,0,8,5,0,0,0,50,27,23,0,0,0,0,0,0,1,1,0,50,DIURNO,50,NA,NA,43,"1,162790698",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,EF_AF,_EF_AI_EF_AF_,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"1.652,00",799,"2.451,00",0,0,0,"2.451,00","1.652,00",799,"2.451,00",24/11/2021,
Minas Gerais,MG,31,Berilo,3106507,31023132,2,Estadual,1,1,1,20,0,0,0,0,1,1,1,1,1,1,448,448,0,24,17,0,0,0,284,120,164,164,0,0,0,0,0,10,10,0,448,DIURNO,298,NA,NA,20,"14,9",1,0,NA,NA,2019,1,1,MEC,7/11/19 11:23,0,1,0,M,,EF_AI,EF_AF,_EF_AI_EF_AF_EM,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,0,"3.328,00","3.328,00",0,0,0,"3.328,00",0,"3.328,00","3.328,00",24/11/2021,EM
Minas Gerais,MG,31,Berilo,3106507,31023141,3,Municipal,2,1,1,1,1,1,0,0,1,0,0,1,1,1,28,28,0,7,3,0,0,0,28,10,18,0,0,0,0,0,0,0,0,0,28,DIURNO,28,NA,NA,2,14,1,0,NA,NA,2019,2,1,MEC,9/30/19 11:12,0,1,0,P,,EF_AI,EF_AF,_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31023159,2,Estadual,2,1,1,10,0,0,1,2,1,1,1,2,1,1,65,65,0,17,6,0,0,0,44,15,29,21,0,0,0,0,0,2,2,0,65,DIURNO,65,NA,NA,12,"5,416666667",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,EF_AF,_EF_AI_EF_AF_EM,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,0,"2.451,00","2.451,00",0,0,0,"2.451,00",0,"2.451,00","2.451,00",24/11/2021,EM
Minas Gerais,MG,31,Berilo,3106507,31023167,2,Estadual,1,1,1,20,0,0,0,0,1,1,0,1,1,1,527,527,0,30,16,0,0,0,302,0,302,225,0,0,0,0,0,13,13,0,527,DIURNO,353,NA,NA,20,"17,65",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G,,,EF_AF,EF_AF_EM,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"1.192,00","2.700,00","3.892,00",0,0,0,"3.892,00","1.192,00","2.700,00","3.892,00",24/11/2021,EM
Minas Gerais,MG,31,Berilo,3106507,31023183,2,Estadual,2,1,1,12,0,0,0,0,1,0,1,3,1,1,76,52,24,37,12,0,0,0,21,10,11,16,0,0,39,24,15,0,0,0,52,DIURNO,30,NA,NA,12,"2,5",3,1,NA,NA,2019,2,1,MEC,7/11/19 13:48,0,2,0,P,,EF_AI,EF_AF,_EF_AI_EF_AF_EM,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"2.451,00",0,"2.451,00",0,0,0,"2.451,00","2.451,00",0,"2.451,00",24/11/2021,EM
Minas Gerais,MG,31,Berilo,3106507,31023191,2,Estadual,2,1,1,28,1,5,0,0,1,1,0,2,1,1,67,67,0,45,7,0,0,0,43,23,20,24,0,0,0,0,0,6,6,0,67,DIURNO,44,NA,NA,33,"1,333333333",4,1,NA,NA,2019,2,1,MEC,7/17/19 12:38,0,2,0,P,,EF_AI,EF_AF,_EF_AI_EF_AF_EM,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"2.451,00",0,"2.451,00",0,0,0,"2.451,00","2.451,00",0,"2.451,00",24/11/2021,EM
Minas Gerais,MG,31,Berilo,3106507,31023213,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,16,16,0,18,2,0,0,0,16,16,0,0,0,0,0,0,0,1,1,0,16,DIURNO,16,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31023230,2,Estadual,1,1,1,14,1,1,1,2,1,1,1,1,1,0,108,0,0,26,2,0,0,0,0,0,0,0,0,0,108,51,57,1,1,0,0,DIURNO,0,NA,NA,17,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,,,,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31025178,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,12,12,0,10,2,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,12,DIURNO,12,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31025208,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,8,8,0,3,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,DIURNO,8,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31025216,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,3,3,0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,DIURNO,3,NA,NA,0,NA,1,0,NA,NA,2019,1,1,MEC,10/25/19 15:15,0,0,0,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31025224,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,4,4,0,3,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,DIURNO,4,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31025232,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,25,25,0,2,2,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,25,DIURNO,25,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,0,"2.451,00","2.451,00",0,0,0,"2.451,00",0,"2.451,00","2.451,00",12/11/2021,
Minas Gerais,MG,31,Berilo,3106507,31025267,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,8,8,0,3,1,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,DIURNO,8,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31025283,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,15,15,0,3,2,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,15,DIURNO,15,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31236624,3,Municipal,1,1,0,0,0,0,0,0,0,0,0,9,NA,1,74,74,0,15,6,74,0,74,0,0,0,0,0,0,0,0,0,1,1,0,74,DIURNO,74,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,,,EI_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31264105,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,18,18,0,2,3,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,DIURNO,18,NA,NA,0,NA,1,0,NA,NA,2019,2,1,MEC,10/25/19 14:57,0,0,0,P,EI,,,EI_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31264202,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,19,19,0,9,2,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,DIURNO,19,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,,,EI_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Minas Gerais,MG,31,Berilo,3106507,31264237,3,Municipal,1,1,0,0,0,0,0,0,0,0,0,9,NA,1,47,47,0,3,2,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,47,DIURNO,47,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,,,EI_,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,0,"2.451,00","2.451,00",0,0,0,"2.451,00",0,"2.451,00","2.451,00",12/11/2021,
Minas Gerais,MG,31,Berilo,3106507,31330655,2,Estadual,1,1,1,28,0,0,0,0,1,1,1,1,1,1,198,198,0,7,10,0,0,0,198,198,0,0,0,0,0,0,0,3,3,0,198,DIURNO,124,NA,NA,28,"4,428571429",3,1,NA,NA,2021,3,1,MEC,1/26/21 16:15,1,3,1,P,,EF_AI,,_EF_AI,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,"2.451,00",0,"2.451,00",0,0,0,"2.451,00","2.451,00",0,"2.451,00",24/11/2021,
Minas Gerais,MG,31,Berilo,3106507,31335410,3,Municipal,1,1,0,0,0,0,0,0,0,0,0,9,NA,1,101,101,0,8,8,101,101,0,0,0,0,0,0,0,0,0,0,6,6,0,101,DIURNO,101,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,EI,,,EI_,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,
Minas Gerais,MG,31,Berilo,3106507,31372528,3,Municipal,2,1,1,1,0,0,0,0,0,0,0,0,NA,1,33,33,0,19,3,0,0,0,33,33,0,0,0,0,0,0,0,1,1,0,33,DIURNO,33,NA,NA,1,33,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,,_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
